scheduleid,routeid,scheduleday,scheduletime,
340,7,0,1362,
341,7,0,1392,
342,7,0,1419,
343,7,0,9,
344,8,0,373,
345,8,0,403,
346,8,0,433,
347,8,0,460,
348,8,0,475,
349,8,0,490,
350,8,0,505,
351,8,0,520,
352,8,0,535,
353,8,0,550,
354,8,0,565,
355,8,0,580,
356,8,0,595,
357,8,0,610,
358,8,0,625,
359,8,0,648,
360,8,0,678,
361,8,0,708,
362,8,0,738,
363,8,0,768,
364,8,0,798,
365,8,0,828,
366,8,0,858,
367,8,0,888,
368,8,0,918,
369,8,0,944,
370,8,0,959,
371,8,0,974,
372,8,0,989,
373,8,0,1008,
374,8,0,1023,
375,8,0,1038,
376,8,0,1053,
377,8,0,1068,
378,8,0,1083,
379,8,0,1098,
380,8,0,1113,
381,8,0,1133,
382,8,0,1163,
383,8,0,1187,
384,8,0,1217,
385,8,0,1245,
386,8,0,1275,
387,8,0,1305,
388,8,0,1335,
389,8,0,1365,
390,8,0,1395,
391,8,0,1422,
392,8,0,12,
393,9,0,378,
394,9,0,408,
395,9,0,438,
396,9,0,466,
397,9,0,481,
398,9,0,496,
399,9,0,511,
400,9,0,526,
401,9,0,541,
402,9,0,556,
403,9,0,571,
404,9,0,586,
405,9,0,601,
406,9,0,616,
407,9,0,631,
408,9,0,654,
409,9,0,684,
410,9,0,714,
411,9,0,744,
412,9,0,774,
413,9,0,804,
414,9,0,834,
415,9,0,864,
416,9,0,894,
417,9,0,924,
418,9,0,951,
419,9,0,966,
420,9,0,981,
421,9,0,996,
422,9,0,1015,
423,9,0,1030,
424,9,0,1045,
425,9,0,1060,
426,9,0,1075,
427,9,0,1090,
428,9,0,1105,
429,9,0,1120,
430,9,0,1139,
431,9,0,1169,
432,9,0,1193,
433,9,0,1223,
434,9,0,1251,
435,9,0,1281,
436,9,0,1311,
437,9,0,1341,
438,9,0,1371,
439,9,0,1401,
440,9,0,1427,
441,9,0,17,
442,10,0,382,
443,10,0,412,
444,10,0,442,
445,10,0,470,
446,10,0,485,
447,10,0,500,
448,10,0,515,
449,10,0,530,
450,10,0,545,
451,10,0,560,
452,10,0,575,
453,10,0,590,
454,10,0,605,
455,10,0,620,
456,10,0,635,
457,10,0,658,
458,10,0,688,
459,10,0,718,
460,10,0,748,
461,10,0,778,
462,10,0,808,
463,10,0,838,
464,10,0,868,
465,10,0,898,
466,10,0,928,
467,10,0,955,
468,10,0,970,
469,10,0,985,
470,10,0,1000,
471,10,0,1020,
472,10,0,1035,
473,10,0,1050,
474,10,0,1065,
475,10,0,1080,
476,10,0,1095,
477,10,0,1110,
478,10,0,1125,
479,10,0,1143,
480,10,0,1173,
481,10,0,1197,
482,10,0,1227,
483,10,0,1255,
484,10,0,1285,
485,10,0,1315,
486,10,0,1345,
487,10,0,1375,
488,10,0,1405,
489,10,0,1431,
490,10,0,21,
491,11,0,384,
492,11,0,414,
493,11,0,444,
494,11,0,472,
495,11,0,487,
496,11,0,502,
497,11,0,517,
498,11,0,532,
499,11,0,547,
500,11,0,562,
501,11,0,577,
502,11,0,593,
503,11,0,608,
504,11,0,623,
505,11,0,638,
506,11,0,661,
507,11,0,691,
508,11,0,721,
509,11,0,751,
510,11,0,781,
511,11,0,811,
512,11,0,841,
513,11,0,871,
514,11,0,901,
515,11,0,931,
516,11,0,958,
517,11,0,973,
518,11,0,988,
519,11,0,1003,
520,11,0,1023,
521,11,0,1038,
522,11,0,1053,
523,11,0,1068,
524,11,0,1083,
525,11,0,1098,
526,11,0,1113,
527,11,0,1128,
528,11,0,1146,
529,11,0,1176,
530,11,0,1200,
531,11,0,1230,
532,11,0,1258,
533,11,0,1288,
534,11,0,1318,
535,11,0,1348,
536,11,0,1378,
537,11,0,1408,
538,11,0,1433,
539,11,0,23,
540,12,0,391,
541,12,0,421,
542,12,0,451,
543,12,0,479,
544,12,0,494,
545,12,0,509,
546,12,0,524,
547,12,0,539,
548,12,0,554,
549,12,0,569,
550,12,0,584,
551,12,0,600,
552,12,0,615,
553,12,0,630,
554,12,0,645,
555,12,0,668,
556,12,0,698,
557,12,0,728,
558,12,0,758,
559,12,0,788,
560,12,0,818,
561,12,0,848,
562,12,0,878,
563,12,0,908,
564,12,0,938,
565,12,0,965,
566,12,0,980,
567,12,0,995,
568,12,0,1010,
569,12,0,1030,
570,12,0,1045,
571,12,0,1060,
572,12,0,1075,
573,12,0,1090,
574,12,0,1105,
575,12,0,1120,
576,12,0,1135,
577,12,0,1153,
578,12,0,1183,
579,12,0,1207,
580,12,0,1237,
581,12,0,1265,
582,12,0,1295,
583,12,0,1325,
584,12,0,1355,
585,12,0,1385,
586,12,0,1415,
587,12,0,0,
588,12,0,30,
589,13,0,300,
590,13,0,320,
591,13,0,350,
592,13,0,362,
593,13,0,377,
594,13,0,392,
595,13,0,407,
596,13,0,422,
597,13,0,437,
598,13,0,452,
599,13,0,467,
600,13,0,486,
601,13,0,501,
602,13,0,516,
603,13,0,531,
604,13,0,556,
605,13,0,586,
606,13,0,616,
607,13,0,646,
